订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
OD2026001,电子产品,智能手机,2,2999,北京,微信支付,2026-07-15
OD2026002,服装,男士T恤,3,89,上海,支付宝,2026-07-15
OD2026003,食品,坚果礼盒,5,128,广州,银行转账,2026-07-16
OD2026004,家居用品,保温杯,4,79,深圳,微信支付,2026-07-16
OD2026005,电子产品,蓝牙耳机,6,199,杭州,支付宝,2026-07-17
OD2026006,服装,女士连衣裙,2,259,成都,微信支付,2026-07-17
OD2026007,食品,有机纯牛奶,10,58,武汉,银行转账,2026-07-18
OD2026008,家居用品,台灯,3,129,南京,支付宝,2026-07-18
OD2026009,电子产品,智能手表,1,899,重庆,微信支付,2026-07-19
OD2026010,服装,运动鞋,4,199,西安,支付宝,2026-07-19
OD2026011,食品,巧克力礼盒,8,76,长沙,微信支付,2026-07-20
OD2026012,家居用品,床上四件套,2,358,天津,银行转账,2026-07-20
OD2026013,电子产品,平板电脑,1,2699,苏州,支付宝,2026-07-21
OD2026014,服装,牛仔裤,5,149,青岛,微信支付,2026-07-21
OD2026015,食品,饼干礼盒,6,45,郑州,支付宝,2026-07-22
OD2026016,家居用品,收纳箱,3,68,宁波,微信支付,2026-07-22
OD2026017,电子产品,无线充电器,7,89,东莞,银行转账,2026-07-23
OD2026018,服装,防晒衣,2,129,昆明,支付宝,2026-07-23
OD2026019,食品,坚果仁,4,89,沈阳,微信支付,2026-07-24
OD2026020,家居用品,绿植盆栽,5,35,济南,支付宝,2026-07-24
OD2026021,电子产品,智能手环,3,169,大连,微信支付,2026-07-25
OD2026022,服装,休闲裤,6,109,厦门,银行转账,2026-07-25
OD2026023,食品,薯片礼包,10,29,哈尔滨,支付宝,2026-07-26
OD2026024,家居用品,香薰机,2,99,福州,微信支付,2026-07-26
OD2026025,电子产品,摄像头,4,199,合肥,支付宝,2026-07-27
OD2026026,服装,棉服,2,399,南昌,微信支付,2026-07-27
OD2026027,食品,蜂蜜礼盒,3,88,太原,银行转账,2026-07-28
OD2026028,家居用品,乳胶枕,4,159,乌鲁木齐,支付宝,2026-07-28
OD2026029,电子产品,音箱,5,299,兰州,微信支付,2026-07-29
OD2026030,服装,短袖衬衫,7,79,贵阳,支付宝,2026-07-29